archetype_label,Dragapult ex / Meowth ex / Fezandipiti ex,Fezandipiti ex / Alakazam / Kadabra,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,Mega Lucario ex / Hariyama / Solrock,N’s Zoroark ex / N’s Zorua / N’s Reshiram,Teal Mask Ogerpon ex / Mega Kangaskhan ex / Raging Bolt ex,Thwackey / Dipplin / Seaking
Dragapult ex / Meowth ex / Fezandipiti ex,,0.42857142857142855,0.4444444444444444,0.5238095238095238,0.3333333333333333,,0.5,1.0
Fezandipiti ex / Alakazam / Kadabra,0.5714285714285714,0.5,0.4444444444444444,0.5384615384615384,0.5555555555555556,0.8333333333333334,0.5833333333333334,0.375
Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,0.5555555555555556,0.5555555555555556,0.5,0.4126984126984127,0.47368421052631576,0.16666666666666666,0.3,0.42857142857142855
Mega Froslass ex / Mega Lopunny ex / Dudunsparce,0.47619047619047616,0.46153846153846156,0.5873015873015873,0.5,0.2857142857142857,0.07692307692307693,0.5,0.2727272727272727
Mega Lucario ex / Hariyama / Solrock,0.6666666666666666,0.4444444444444444,0.5263157894736842,0.7142857142857143,0.5,0.6666666666666666,0.75,
N’s Zoroark ex / N’s Zorua / N’s Reshiram,,0.16666666666666666,0.8333333333333334,0.9230769230769231,0.3333333333333333,,0.75,
Teal Mask Ogerpon ex / Mega Kangaskhan ex / Raging Bolt ex,0.5,0.4166666666666667,0.7,0.5,0.25,0.25,,0.5
Thwackey / Dipplin / Seaking,0.0,0.625,0.5714285714285714,0.7272727272727273,,,0.5,
